model_setting,accuracy,auc,precision,recall
RLL_l1_1024_l2_128_lr_0.05_penalty_5.0_bs_128,0.8595505617977528,0.9093390804597701,0.8861788617886179,0.9083333333333333
RLL_l1_64_l2_32_lr_0.05_penalty_10.0_bs_512,0.8595505617977528,0.9091954022988507,0.8925619834710744,0.9
RLL_l1_128_l2_128_lr_0.05_penalty_10.0_bs_512,0.8595505617977528,0.9089080459770115,0.8861788617886179,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9089080459770115,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_64_lr_0.05_penalty_1.0_bs_512,0.8595505617977528,0.9087643678160919,0.88,0.9166666666666666
RLL_l1_128_l2_64_lr_0.05_penalty_1.0_bs_1024,0.8595505617977528,0.9086206896551724,0.8991596638655462,0.8916666666666667
RLL_l1_128_l2_64_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9086206896551724,0.8925619834710744,0.9
RLL_l1_128_l2_64_lr_0.05_penalty_5.0_bs_512,0.8595505617977528,0.9086206896551724,0.8925619834710744,0.9
RLL_l1_512_l2_128_lr_0.05_penalty_10.0_bs_256,0.8595505617977528,0.9086206896551724,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_256_lr_0.05_penalty_5.0_bs_1024,0.8595505617977528,0.9083333333333333,0.88,0.9166666666666666
RLL_l1_256_l2_256_lr_0.05_penalty_10.0_bs_256,0.8595505617977528,0.9083333333333332,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_64_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9081896551724139,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_256_lr_0.05_penalty_1.0_bs_256,0.8595505617977528,0.9080459770114943,0.8925619834710744,0.9
RLL_l1_512_l2_512_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9080459770114943,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_256_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9079022988505747,0.8861788617886179,0.9083333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_1.0_bs_1024,0.8595505617977528,0.9077586206896552,0.8861788617886179,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9076149425287356,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_128_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9073275862068966,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_64_lr_0.05_penalty_1.0_bs_1024,0.8595505617977528,0.907183908045977,0.8925619834710744,0.9
RLL_l1_512_l2_32_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9070402298850575,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_64_lr_0.05_penalty_10.0_bs_512,0.8595505617977528,0.9070402298850575,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_64_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9070402298850574,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_32_lr_0.05_penalty_0.1_bs_512,0.8595505617977528,0.9068965517241381,0.8925619834710744,0.9
RLL_l1_1024_l2_128_lr_0.05_penalty_5.0_bs_1024,0.8595505617977528,0.9066091954022989,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_64_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9063218390804598,0.88,0.9166666666666666
RLL_l1_512_l2_32_lr_0.05_penalty_1.0_bs_256,0.8595505617977528,0.9058908045977011,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_256_lr_0.05_penalty_1.0_bs_128,0.8595505617977528,0.9056034482758621,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_32_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9054597701149425,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_128_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9053160919540231,0.8925619834710744,0.9
RLL_l1_512_l2_128_lr_0.05_penalty_10.0_bs_128,0.8595505617977528,0.9048850574712644,0.8861788617886179,0.9083333333333333
RLL_l1_64_l2_32_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9043103448275862,0.8991596638655462,0.8916666666666667
RLL_l1_64_l2_32_lr_0.05_penalty_1.0_bs_256,0.8595505617977528,0.9031609195402299,0.905982905982906,0.8833333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_1.0_bs_1024,0.8595505617977528,0.9022988505747127,0.8925619834710744,0.9
RLL_l1_64_l2_32_lr_0.05_penalty_1.0_bs_1024,0.8595505617977528,0.898132183908046,0.9130434782608695,0.875
RLL_l1_256_l2_32_lr_0.05_penalty_5.0_bs_128,0.8539325842696629,0.9137931034482759,0.8852459016393442,0.9
RLL_l1_512_l2_64_lr_0.05_penalty_5.0_bs_128,0.8539325842696629,0.9110632183908046,0.8790322580645161,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_0.1_bs_256,0.8539325842696629,0.9107758620689655,0.8916666666666667,0.8916666666666667
RLL_l1_1024_l2_256_lr_0.05_penalty_1.0_bs_1024,0.8539325842696629,0.9107758620689655,0.8790322580645161,0.9083333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_5.0_bs_128,0.8539325842696629,0.9103448275862068,0.8852459016393442,0.9
RLL_l1_512_l2_32_lr_0.05_penalty_5.0_bs_128,0.8539325842696629,0.9102011494252874,0.8852459016393442,0.9
RLL_l1_1024_l2_128_lr_0.05_penalty_0.1_bs_512,0.8539325842696629,0.9097701149425287,0.8852459016393442,0.9
RLL_l1_512_l2_64_lr_0.05_penalty_0.1_bs_512,0.8539325842696629,0.908764367816092,0.8983050847457628,0.8833333333333333
RLL_l1_1024_l2_64_lr_0.05_penalty_10.0_bs_512,0.8539325842696629,0.9087643678160919,0.8852459016393442,0.9
RLL_l1_1024_l2_64_lr_0.05_penalty_10.0_bs_128,0.8539325842696629,0.9086206896551725,0.8790322580645161,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_1.0_bs_512,0.8539325842696629,0.908477011494253,0.8916666666666667,0.8916666666666667
RLL_l1_1024_l2_64_lr_0.05_penalty_5.0_bs_1024,0.8539325842696629,0.9083333333333333,0.8852459016393442,0.9
RLL_l1_64_l2_32_lr_0.05_penalty_1.0_bs_128,0.8539325842696629,0.9081896551724138,0.9051724137931034,0.875
RLL_l1_256_l2_128_lr_0.05_penalty_0.1_bs_512,0.8539325842696629,0.9081896551724138,0.8983050847457628,0.8833333333333333
RLL_l1_128_l2_64_lr_0.05_penalty_10.0_bs_256,0.8539325842696629,0.9081896551724138,0.8852459016393442,0.9
RLL_l1_512_l2_128_lr_0.05_penalty_1.0_bs_512,0.8539325842696629,0.9081896551724138,0.8790322580645161,0.9083333333333333
RLL_l1_512_l2_128_lr_0.05_penalty_5.0_bs_128,0.8539325842696629,0.9081896551724138,0.8790322580645161,0.9083333333333333
RLL_l1_256_l2_64_lr_0.05_penalty_10.0_bs_1024,0.8539325842696629,0.9077586206896552,0.8916666666666667,0.8916666666666667
RLL_l1_512_l2_32_lr_0.05_penalty_0.1_bs_256,0.8539325842696629,0.9076149425287358,0.8916666666666667,0.8916666666666667
RLL_l1_512_l2_32_lr_0.05_penalty_10.0_bs_256,0.8539325842696629,0.9074712643678161,0.8916666666666667,0.8916666666666667
RLL_l1_1024_l2_32_lr_0.05_penalty_10.0_bs_512,0.8539325842696629,0.9073275862068965,0.8790322580645161,0.9083333333333333
RLL_l1_128_l2_64_lr_0.05_penalty_10.0_bs_128,0.8539325842696629,0.9070402298850575,0.8852459016393442,0.9
RLL_l1_512_l2_32_lr_0.05_penalty_5.0_bs_256,0.8539325842696629,0.9064655172413792,0.8852459016393442,0.9
RLL_l1_128_l2_32_lr_0.05_penalty_10.0_bs_128,0.8539325842696629,0.9063218390804598,0.8852459016393442,0.9
RLL_l1_64_l2_32_lr_0.05_penalty_10.0_bs_256,0.8539325842696629,0.9061781609195403,0.8983050847457628,0.8833333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_1.0_bs_256,0.8539325842696629,0.9061781609195402,0.8852459016393442,0.9
RLL_l1_128_l2_64_lr_0.05_penalty_10.0_bs_1024,0.8539325842696629,0.9060344827586208,0.8916666666666667,0.8916666666666667
RLL_l1_128_l2_64_lr_0.05_penalty_10.0_bs_512,0.8539325842696629,0.9060344827586208,0.8916666666666667,0.8916666666666667
RLL_l1_128_l2_32_lr_0.05_penalty_10.0_bs_512,0.8539325842696629,0.9038793103448276,0.8916666666666667,0.8916666666666667
RLL_l1_512_l2_256_lr_0.05_penalty_10.0_bs_128,0.8539325842696629,0.9038793103448276,0.8852459016393442,0.9
RLL_l1_512_l2_64_lr_0.05_penalty_5.0_bs_1024,0.8539325842696629,0.9035919540229885,0.8790322580645161,0.9083333333333333
